seed,order_id,task_order,method,memory_budget,ewc_lambda,epochs,batch_size,final_average_accuracy,average_forgetting,elapsed_seconds,device,task_0_final_accuracy,task_1_final_accuracy,task_2_final_accuracy,task_3_final_accuracy,task_4_final_accuracy
10,shuffle_0,2-3-1-0-4,experience_replay,100,0.0,2,512,0.22199999999999998,0.35225,0.151,cuda:0,0.985,0.125,0.0,0.0,0.0
10,shuffle_0,2-3-1-0-4,experience_replay,500,0.0,2,512,0.2514,0.33475,0.157,cuda:0,0.591,0.39,0.055,0.219,0.002
10,shuffle_0,2-3-1-0-4,ewc,0,25.0,2,512,0.1774,0.33999999999999997,0.321,cuda:0,0.484,0.4,0.0,0.003,0.0
10,shuffle_1,1-0-2-4-3,no_replay,0,0.0,2,512,0.259,0.176,0.126,cuda:0,0.447,0.787,0.0,0.0,0.061
10,shuffle_1,1-0-2-4-3,experience_replay,100,0.0,2,512,0.2178,0.27175,0.192,cuda:0,0.363,0.228,0.0,0.0,0.498
10,shuffle_1,1-0-2-4-3,experience_replay,500,0.0,2,512,0.25620000000000004,0.32875,0.156,cuda:0,0.373,0.413,0.0,0.0,0.495
10,shuffle_1,1-0-2-4-3,ewc,0,25.0,2,512,0.261,0.16974999999999998,0.327,cuda:0,0.441,0.817,0.0,0.0,0.047
10,shuffle_2,2-3-0-4-1,no_replay,0,0.0,2,512,0.167,0.41,0.131,cuda:0,0.785,0.003,0.0,0.009,0.038
10,shuffle_2,2-3-0-4-1,experience_replay,100,0.0,2,512,0.21739999999999998,0.39349999999999996,0.147,cuda:0,0.757,0.0,0.0,0.0,0.33
10,shuffle_2,2-3-0-4-1,experience_replay,500,0.0,2,512,0.3174,0.30824999999999997,0.156,cuda:0,0.922,0.094,0.035,0.05,0.486
10,shuffle_2,2-3-0-4-1,ewc,0,25.0,2,512,0.16660000000000003,0.41050000000000003,0.376,cuda:0,0.773,0.003,0.0,0.012,0.045
10,shuffle_3,1-2-0-3-4,no_replay,0,0.0,2,512,0.21460000000000004,0.2895,0.127,cuda:0,0.154,0.675,0.057,0.009,0.178
10,shuffle_3,1-2-0-3-4,experience_replay,100,0.0,2,512,0.2702,0.359,0.145,cuda:0,0.506,0.344,0.004,0.305,0.192
10,shuffle_3,1-2-0-3-4,experience_replay,500,0.0,2,512,0.3616,0.29075,0.152,cuda:0,0.747,0.295,0.0,0.422,0.344
10,shuffle_3,1-2-0-3-4,ewc,0,25.0,2,512,0.202,0.29050000000000004,0.319,cuda:0,0.083,0.725,0.043,0.006,0.153
