seed,order_id,legacy_order_id,run_order_id,order,task_order,method,memory_budget,method_cell,status,ewc_lambda,selected_ewc_lambda,epochs,batch_size,matched_step_cap_per_task,effective_epoch_passes_per_task,optimizer_steps_total,optimizer_steps_per_task,optimizer_steps,processed_examples_total,processed_examples_per_task,processed_examples,fisher_method,fisher_sample_counts_per_anchor,A_after_mean,A_after_median,A_after_min,A_after_le_0_001_count,final_average_accuracy,average_forgetting,AF,elapsed_seconds,elapsed_time_seconds,device,train_cap_per_digit,test_cap_per_digit,result_kind,task_0_A_after,task_1_A_after,task_2_A_after,task_3_A_after,task_4_A_after,task_0_A_end,task_1_A_end,task_2_A_end,task_3_A_end,task_4_A_end,task_0_final_accuracy,task_1_final_accuracy,task_2_final_accuracy,task_3_final_accuracy,task_4_final_accuracy
3,perm_029,none,perm_029,"[1,0,4,3,2]",1-0-4-3-2,no_replay,0,no_replay,PASS,0.0,0.0,10,128,not_applicable,not_applicable,800,160;160;160;160;160,800,100000,20000;20000;20000;20000;20000,100000,not_applicable,not_applicable,0.9905999999999999,0.993,0.982,0,0.199,0.9894999999999999,0.9894999999999999,1.292,1.292,cuda:0,1000,500,all_120perm_4methods,0.999,0.982,0.995,0.993,0.984,0.0,0.0,0.995,0.0,0.0,0.0,0.0,0.995,0.0,0.0
3,perm_029,none,perm_029,"[1,0,4,3,2]",1-0-4-3-2,experience_replay,100,er100,PASS,0.0,0.0,10,128,not_applicable,not_applicable,840,160;170;170;170;170,840,104000,20000;21000;21000;21000;21000,104000,not_applicable,not_applicable,0.9884000000000001,0.988,0.982,0,0.39799999999999996,0.738,0.738,1.355,1.355,cuda:0,1000,500,all_120perm_4methods,0.998,0.982,0.989,0.988,0.985,0.157,0.0,0.989,0.844,0.0,0.157,0.0,0.989,0.844,0.0
3,perm_029,none,perm_029,"[1,0,4,3,2]",1-0-4-3-2,experience_replay,500,er500,PASS,0.0,0.0,10,128,not_applicable,not_applicable,960,160;200;200;200;200,960,120000,20000;25000;25000;25000;25000,120000,not_applicable,not_applicable,0.9827999999999999,0.982,0.973,0,0.5997999999999999,0.47874999999999995,0.47874999999999995,1.578,1.578,cuda:0,1000,500,all_120perm_4methods,0.997,0.982,0.983,0.979,0.973,0.591,0.0,0.983,0.912,0.513,0.591,0.0,0.983,0.912,0.513
3,perm_029,none,perm_029,"[1,0,4,3,2]",1-0-4-3-2,ewc,0,ewc,PASS,100.0,100.0,10,128,not_applicable,not_applicable,800,160;160;160;160;160,800,100000,20000;20000;20000;20000;20000,100000,empirical_mean_of_per_sample_squared_gradients,2000;2000;2000;2000,0.9916,0.995,0.982,0,0.199,0.99075,0.99075,3.771,3.771,cuda:0,1000,500,all_120perm_4methods,1.0,0.982,0.995,0.997,0.984,0.0,0.0,0.995,0.0,0.0,0.0,0.0,0.995,0.0,0.0
4,perm_029,none,perm_029,"[1,0,4,3,2]",1-0-4-3-2,no_replay,0,no_replay,PASS,0.0,0.0,10,128,not_applicable,not_applicable,800,160;160;160;160;160,800,100000,20000;20000;20000;20000;20000,100000,not_applicable,not_applicable,0.9870000000000001,0.992,0.973,0,0.1984,0.9857499999999999,0.9857499999999999,1.288,1.288,cuda:0,1000,500,all_120perm_4methods,0.999,0.979,0.992,0.992,0.973,0.0,0.0,0.992,0.0,0.0,0.0,0.0,0.992,0.0,0.0
4,perm_029,none,perm_029,"[1,0,4,3,2]",1-0-4-3-2,experience_replay,100,er100,PASS,0.0,0.0,10,128,not_applicable,not_applicable,840,160;170;170;170;170,840,104000,20000;21000;21000;21000;21000,104000,not_applicable,not_applicable,0.9861999999999999,0.988,0.977,0,0.384,0.7527499999999999,0.7527499999999999,1.35,1.35,cuda:0,1000,500,all_120perm_4methods,0.998,0.979,0.988,0.989,0.977,0.124,0.0,0.988,0.808,0.0,0.124,0.0,0.988,0.808,0.0
4,perm_029,none,perm_029,"[1,0,4,3,2]",1-0-4-3-2,experience_replay,500,er500,PASS,0.0,0.0,10,128,not_applicable,not_applicable,960,160;200;200;200;200,960,120000,20000;25000;25000;25000;25000,120000,not_applicable,not_applicable,0.9802,0.979,0.97,0,0.5926,0.4845,0.4845,1.485,1.485,cuda:0,1000,500,all_120perm_4methods,0.997,0.979,0.979,0.97,0.976,0.509,0.142,0.979,0.915,0.418,0.509,0.142,0.979,0.915,0.418
4,perm_029,none,perm_029,"[1,0,4,3,2]",1-0-4-3-2,ewc,0,ewc,PASS,100.0,100.0,10,128,not_applicable,not_applicable,800,160;160;160;160;160,800,100000,20000;20000;20000;20000;20000,100000,empirical_mean_of_per_sample_squared_gradients,2000;2000;2000;2000,0.9914,0.993,0.979,0,0.1986,0.991,0.991,3.719,3.719,cuda:0,1000,500,all_120perm_4methods,1.0,0.979,0.993,0.996,0.989,0.0,0.0,0.993,0.0,0.0,0.0,0.0,0.993,0.0,0.0
5,perm_029,none,perm_029,"[1,0,4,3,2]",1-0-4-3-2,no_replay,0,no_replay,PASS,0.0,0.0,10,128,not_applicable,not_applicable,800,160;160;160;160;160,800,100000,20000;20000;20000;20000;20000,100000,not_applicable,not_applicable,0.9884000000000001,0.993,0.975,0,0.1988,0.987,0.987,1.244,1.244,cuda:0,1000,500,all_120perm_4methods,1.0,0.975,0.994,0.993,0.98,0.0,0.0,0.994,0.0,0.0,0.0,0.0,0.994,0.0,0.0
5,perm_029,none,perm_029,"[1,0,4,3,2]",1-0-4-3-2,experience_replay,100,er100,PASS,0.0,0.0,10,128,not_applicable,not_applicable,840,160;170;170;170;170,840,104000,20000;21000;21000;21000;21000,104000,not_applicable,not_applicable,0.9874,0.989,0.975,0,0.354,0.79175,0.79175,1.329,1.329,cuda:0,1000,500,all_120perm_4methods,0.997,0.975,0.989,0.991,0.985,0.0,0.0,0.989,0.781,0.0,0.0,0.0,0.989,0.781,0.0
5,perm_029,none,perm_029,"[1,0,4,3,2]",1-0-4-3-2,experience_replay,500,er500,PASS,0.0,0.0,10,128,not_applicable,not_applicable,960,160;200;200;200;200,960,120000,20000;25000;25000;25000;25000,120000,not_applicable,not_applicable,0.9792,0.975,0.974,0,0.5399999999999999,0.549,0.549,1.474,1.474,cuda:0,1000,500,all_120perm_4methods,0.996,0.975,0.974,0.974,0.977,0.422,0.006,0.974,0.914,0.384,0.422,0.006,0.974,0.914,0.384
5,perm_029,none,perm_029,"[1,0,4,3,2]",1-0-4-3-2,ewc,0,ewc,PASS,100.0,100.0,10,128,not_applicable,not_applicable,800,160;160;160;160;160,800,100000,20000;20000;20000;20000;20000,100000,empirical_mean_of_per_sample_squared_gradients,2000;2000;2000;2000,0.9907999999999999,0.995,0.975,0,0.199,0.98975,0.98975,3.697,3.697,cuda:0,1000,500,all_120perm_4methods,1.0,0.975,0.995,0.996,0.988,0.0,0.0,0.995,0.0,0.0,0.0,0.0,0.995,0.0,0.0
6,perm_029,none,perm_029,"[1,0,4,3,2]",1-0-4-3-2,no_replay,0,no_replay,PASS,0.0,0.0,10,128,not_applicable,not_applicable,800,160;160;160;160;160,800,100000,20000;20000;20000;20000;20000,100000,not_applicable,not_applicable,0.9882,0.991,0.975,0,0.1982,0.9875,0.9875,1.226,1.226,cuda:0,1000,500,all_120perm_4methods,1.0,0.975,0.991,0.996,0.979,0.0,0.0,0.991,0.0,0.0,0.0,0.0,0.991,0.0,0.0
6,perm_029,none,perm_029,"[1,0,4,3,2]",1-0-4-3-2,experience_replay,100,er100,PASS,0.0,0.0,10,128,not_applicable,not_applicable,840,160;170;170;170;170,840,104000,20000;21000;21000;21000;21000,104000,not_applicable,not_applicable,0.9872,0.989,0.975,0,0.3606,0.78325,0.78325,1.295,1.295,cuda:0,1000,500,all_120perm_4methods,0.998,0.975,0.989,0.989,0.985,0.018,0.0,0.989,0.796,0.0,0.018,0.0,0.989,0.796,0.0
6,perm_029,none,perm_029,"[1,0,4,3,2]",1-0-4-3-2,experience_replay,500,er500,PASS,0.0,0.0,10,128,not_applicable,not_applicable,960,160;200;200;200;200,960,120000,20000;25000;25000;25000;25000,120000,not_applicable,not_applicable,0.9823999999999999,0.98,0.975,0,0.5980000000000001,0.4804999999999999,0.4804999999999999,1.455,1.455,cuda:0,1000,500,all_120perm_4methods,0.997,0.975,0.984,0.976,0.98,0.572,0.0,0.984,0.911,0.523,0.572,0.0,0.984,0.911,0.523
6,perm_029,none,perm_029,"[1,0,4,3,2]",1-0-4-3-2,ewc,0,ewc,PASS,100.0,100.0,10,128,not_applicable,not_applicable,800,160;160;160;160;160,800,100000,20000;20000;20000;20000;20000,100000,empirical_mean_of_per_sample_squared_gradients,2000;2000;2000;2000,0.9902000000000001,0.995,0.975,0,0.1992,0.98875,0.98875,3.686,3.686,cuda:0,1000,500,all_120perm_4methods,1.0,0.975,0.996,0.995,0.985,0.0,0.0,0.996,0.0,0.0,0.0,0.0,0.996,0.0,0.0
7,perm_029,none,perm_029,"[1,0,4,3,2]",1-0-4-3-2,no_replay,0,no_replay,PASS,0.0,0.0,10,128,not_applicable,not_applicable,800,160;160;160;160;160,800,100000,20000;20000;20000;20000;20000,100000,not_applicable,not_applicable,0.9894000000000001,0.992,0.98,0,0.1984,0.98875,0.98875,1.253,1.253,cuda:0,1000,500,all_120perm_4methods,1.0,0.98,0.992,0.994,0.981,0.0,0.0,0.992,0.0,0.0,0.0,0.0,0.992,0.0,0.0
7,perm_029,none,perm_029,"[1,0,4,3,2]",1-0-4-3-2,experience_replay,100,er100,PASS,0.0,0.0,10,128,not_applicable,not_applicable,840,160;170;170;170;170,840,104000,20000;21000;21000;21000;21000,104000,not_applicable,not_applicable,0.9875999999999999,0.986,0.98,0,0.3592,0.7855,0.7855,1.29,1.29,cuda:0,1000,500,all_120perm_4methods,0.997,0.98,0.992,0.986,0.983,0.0,0.0,0.992,0.804,0.0,0.0,0.0,0.992,0.804,0.0
7,perm_029,none,perm_029,"[1,0,4,3,2]",1-0-4-3-2,experience_replay,500,er500,PASS,0.0,0.0,10,128,not_applicable,not_applicable,960,160;200;200;200;200,960,120000,20000;25000;25000;25000;25000,120000,not_applicable,not_applicable,0.9838000000000001,0.98,0.979,0,0.5776000000000001,0.5077499999999999,0.5077499999999999,1.5,1.5,cuda:0,1000,500,all_120perm_4methods,0.995,0.98,0.979,0.986,0.979,0.771,0.05,0.979,0.908,0.18,0.771,0.05,0.979,0.908,0.18
7,perm_029,none,perm_029,"[1,0,4,3,2]",1-0-4-3-2,ewc,0,ewc,PASS,100.0,100.0,10,128,not_applicable,not_applicable,800,160;160;160;160;160,800,100000,20000;20000;20000;20000;20000,100000,empirical_mean_of_per_sample_squared_gradients,2000;2000;2000;2000,0.9915999999999998,0.993,0.98,0,0.199,0.99075,0.99075,3.694,3.694,cuda:0,1000,500,all_120perm_4methods,1.0,0.98,0.995,0.993,0.99,0.0,0.0,0.995,0.0,0.0,0.0,0.0,0.995,0.0,0.0
8,perm_029,none,perm_029,"[1,0,4,3,2]",1-0-4-3-2,no_replay,0,no_replay,PASS,0.0,0.0,10,128,not_applicable,not_applicable,800,160;160;160;160;160,800,100000,20000;20000;20000;20000;20000,100000,not_applicable,not_applicable,0.9888,0.994,0.976,0,0.1988,0.9875,0.9875,1.265,1.265,cuda:0,1000,500,all_120perm_4methods,1.0,0.976,0.994,0.995,0.979,0.0,0.0,0.994,0.0,0.0,0.0,0.0,0.994,0.0,0.0
8,perm_029,none,perm_029,"[1,0,4,3,2]",1-0-4-3-2,experience_replay,100,er100,PASS,0.0,0.0,10,128,not_applicable,not_applicable,840,160;170;170;170;170,840,104000,20000;21000;21000;21000;21000,104000,not_applicable,not_applicable,0.9858,0.987,0.976,0,0.354,0.78975,0.78975,1.336,1.336,cuda:0,1000,500,all_120perm_4methods,0.996,0.976,0.992,0.987,0.978,0.0,0.0,0.992,0.778,0.0,0.0,0.0,0.992,0.778,0.0
8,perm_029,none,perm_029,"[1,0,4,3,2]",1-0-4-3-2,experience_replay,500,er500,PASS,0.0,0.0,10,128,not_applicable,not_applicable,960,160;200;200;200;200,960,120000,20000;25000;25000;25000;25000,120000,not_applicable,not_applicable,0.9792,0.978,0.962,0,0.6354,0.42974999999999997,0.42974999999999997,1.476,1.476,cuda:0,1000,500,all_120perm_4methods,0.995,0.976,0.985,0.962,0.978,0.608,0.024,0.985,0.925,0.635,0.608,0.024,0.985,0.925,0.635
8,perm_029,none,perm_029,"[1,0,4,3,2]",1-0-4-3-2,ewc,0,ewc,PASS,100.0,100.0,10,128,not_applicable,not_applicable,800,160;160;160;160;160,800,100000,20000;20000;20000;20000;20000,100000,empirical_mean_of_per_sample_squared_gradients,2000;2000;2000;2000,0.9907999999999999,0.994,0.976,0,0.1988,0.99,0.99,3.677,3.677,cuda:0,1000,500,all_120perm_4methods,1.0,0.976,0.994,0.995,0.989,0.0,0.0,0.994,0.0,0.0,0.0,0.0,0.994,0.0,0.0
9,perm_029,none,perm_029,"[1,0,4,3,2]",1-0-4-3-2,no_replay,0,no_replay,PASS,0.0,0.0,10,128,not_applicable,not_applicable,800,160;160;160;160;160,800,100000,20000;20000;20000;20000;20000,100000,not_applicable,not_applicable,0.9878,0.991,0.973,0,0.1982,0.987,0.987,1.249,1.249,cuda:0,1000,500,all_120perm_4methods,0.999,0.979,0.991,0.997,0.973,0.0,0.0,0.991,0.0,0.0,0.0,0.0,0.991,0.0,0.0
9,perm_029,none,perm_029,"[1,0,4,3,2]",1-0-4-3-2,experience_replay,100,er100,PASS,0.0,0.0,10,128,not_applicable,not_applicable,840,160;170;170;170;170,840,104000,20000;21000;21000;21000;21000,104000,not_applicable,not_applicable,0.9862,0.986,0.979,0,0.36360000000000003,0.77825,0.77825,1.292,1.292,cuda:0,1000,500,all_120perm_4methods,0.996,0.979,0.99,0.986,0.98,0.001,0.0,0.99,0.827,0.0,0.001,0.0,0.99,0.827,0.0
9,perm_029,none,perm_029,"[1,0,4,3,2]",1-0-4-3-2,experience_replay,500,er500,PASS,0.0,0.0,10,128,not_applicable,not_applicable,960,160;200;200;200;200,960,120000,20000;25000;25000;25000;25000,120000,not_applicable,not_applicable,0.9825999999999999,0.979,0.974,0,0.5762,0.5079999999999999,0.5079999999999999,1.451,1.451,cuda:0,1000,500,all_120perm_4methods,0.995,0.979,0.986,0.974,0.979,0.557,0.0,0.986,0.924,0.414,0.557,0.0,0.986,0.924,0.414
9,perm_029,none,perm_029,"[1,0,4,3,2]",1-0-4-3-2,ewc,0,ewc,PASS,100.0,100.0,10,128,not_applicable,not_applicable,800,160;160;160;160;160,800,100000,20000;20000;20000;20000;20000,100000,empirical_mean_of_per_sample_squared_gradients,2000;2000;2000;2000,0.9907999999999999,0.995,0.979,0,0.199,0.9897499999999999,0.9897499999999999,3.66,3.66,cuda:0,1000,500,all_120perm_4methods,0.999,0.979,0.995,0.995,0.986,0.0,0.0,0.995,0.0,0.0,0.0,0.0,0.995,0.0,0.0
10,perm_029,none,perm_029,"[1,0,4,3,2]",1-0-4-3-2,no_replay,0,no_replay,PASS,0.0,0.0,10,128,not_applicable,not_applicable,800,160;160;160;160;160,800,100000,20000;20000;20000;20000;20000,100000,not_applicable,not_applicable,0.9895999999999999,0.992,0.977,0,0.1984,0.9889999999999999,0.9889999999999999,1.261,1.261,cuda:0,1000,500,all_120perm_4methods,1.0,0.977,0.992,0.997,0.982,0.0,0.0,0.992,0.0,0.0,0.0,0.0,0.992,0.0,0.0
10,perm_029,none,perm_029,"[1,0,4,3,2]",1-0-4-3-2,experience_replay,100,er100,PASS,0.0,0.0,10,128,not_applicable,not_applicable,840,160;170;170;170;170,840,104000,20000;21000;21000;21000;21000,104000,not_applicable,not_applicable,0.9858,0.984,0.977,0,0.3646,0.7765,0.7765,1.316,1.316,cuda:0,1000,500,all_120perm_4methods,0.998,0.977,0.988,0.984,0.982,0.0,0.0,0.988,0.835,0.0,0.0,0.0,0.988,0.835,0.0
10,perm_029,none,perm_029,"[1,0,4,3,2]",1-0-4-3-2,experience_replay,500,er500,PASS,0.0,0.0,10,128,not_applicable,not_applicable,960,160;200;200;200;200,960,120000,20000;25000;25000;25000;25000,120000,not_applicable,not_applicable,0.9846,0.982,0.977,0,0.5242,0.5754999999999999,0.5754999999999999,1.498,1.498,cuda:0,1000,500,all_120perm_4methods,0.996,0.977,0.982,0.987,0.981,0.411,0.0,0.982,0.923,0.305,0.411,0.0,0.982,0.923,0.305
10,perm_029,none,perm_029,"[1,0,4,3,2]",1-0-4-3-2,ewc,0,ewc,PASS,100.0,100.0,10,128,not_applicable,not_applicable,800,160;160;160;160;160,800,100000,20000;20000;20000;20000;20000,100000,empirical_mean_of_per_sample_squared_gradients,2000;2000;2000;2000,0.9902,0.993,0.977,0,0.199,0.9889999999999999,0.9889999999999999,3.677,3.677,cuda:0,1000,500,all_120perm_4methods,1.0,0.977,0.995,0.993,0.986,0.0,0.0,0.995,0.0,0.0,0.0,0.0,0.995,0.0,0.0
1,perm_030,shuffle_3,shuffle_3,"[1,2,0,3,4]",1-2-0-3-4,no_replay,0,no_replay,PASS,0.0,0.0,10,128,not_applicable,not_applicable,800,160;160;160;160;160,800,100000,20000;20000;20000;20000;20000,100000,not_applicable,not_applicable,0.9874,0.993,0.974,0,0.1948,0.9907499999999999,0.9907499999999999,1.235,1.235,cuda:0,1000,500,all_120perm_4methods,0.999,0.977,0.994,0.993,0.974,0.0,0.0,0.0,0.0,0.974,0.0,0.0,0.0,0.0,0.974
1,perm_030,shuffle_3,shuffle_3,"[1,2,0,3,4]",1-2-0-3-4,experience_replay,100,er100,PASS,0.0,0.0,10,128,not_applicable,not_applicable,840,160;170;170;170;170,840,104000,20000;21000;21000;21000;21000,104000,not_applicable,not_applicable,0.9856,0.99,0.971,0,0.3276,0.8225,0.8225,1.307,1.307,cuda:0,1000,500,all_120perm_4methods,0.999,0.977,0.991,0.99,0.971,0.0,0.0,0.0,0.667,0.971,0.0,0.0,0.0,0.667,0.971
1,perm_030,shuffle_3,shuffle_3,"[1,2,0,3,4]",1-2-0-3-4,experience_replay,500,er500,PASS,0.0,0.0,10,128,not_applicable,not_applicable,960,160;200;200;200;200,960,120000,20000;25000;25000;25000;25000,120000,not_applicable,not_applicable,0.9808,0.981,0.969,0,0.5482,0.5407500000000001,0.5407500000000001,1.468,1.468,cuda:0,1000,500,all_120perm_4methods,0.993,0.977,0.984,0.981,0.969,0.858,0.004,0.0,0.91,0.969,0.858,0.004,0.0,0.91,0.969
1,perm_030,shuffle_3,shuffle_3,"[1,2,0,3,4]",1-2-0-3-4,ewc,0,ewc,PASS,100.0,100.0,10,128,not_applicable,not_applicable,800,160;160;160;160;160,800,100000,20000;20000;20000;20000;20000,100000,empirical_mean_of_per_sample_squared_gradients,2000;2000;2000;2000,0.9905999999999999,0.994,0.977,0,0.1976,0.99125,0.99125,3.703,3.703,cuda:0,1000,500,all_120perm_4methods,0.999,0.977,0.995,0.994,0.988,0.0,0.0,0.0,0.0,0.988,0.0,0.0,0.0,0.0,0.988
2,perm_030,shuffle_3,shuffle_3,"[1,2,0,3,4]",1-2-0-3-4,no_replay,0,no_replay,PASS,0.0,0.0,10,128,not_applicable,not_applicable,800,160;160;160;160;160,800,100000,20000;20000;20000;20000;20000,100000,not_applicable,not_applicable,0.9880000000000001,0.993,0.976,0,0.1954,0.99075,0.99075,1.253,1.253,cuda:0,1000,500,all_120perm_4methods,0.999,0.976,0.995,0.993,0.977,0.0,0.0,0.0,0.0,0.977,0.0,0.0,0.0,0.0,0.977
2,perm_030,shuffle_3,shuffle_3,"[1,2,0,3,4]",1-2-0-3-4,experience_replay,100,er100,PASS,0.0,0.0,10,128,not_applicable,not_applicable,840,160;170;170;170;170,840,104000,20000;21000;21000;21000;21000,104000,not_applicable,not_applicable,0.9853999999999999,0.986,0.976,0,0.333,0.8154999999999999,0.8154999999999999,1.319,1.319,cuda:0,1000,500,all_120perm_4methods,0.999,0.976,0.988,0.986,0.978,0.002,0.0,0.0,0.685,0.978,0.002,0.0,0.0,0.685,0.978
2,perm_030,shuffle_3,shuffle_3,"[1,2,0,3,4]",1-2-0-3-4,experience_replay,500,er500,PASS,0.0,0.0,10,128,not_applicable,not_applicable,960,160;200;200;200;200,960,120000,20000;25000;25000;25000;25000,120000,not_applicable,not_applicable,0.9789999999999999,0.98,0.961,0,0.5912,0.48475,0.48475,1.504,1.504,cuda:0,1000,500,all_120perm_4methods,0.993,0.976,0.98,0.985,0.961,0.879,0.007,0.194,0.915,0.961,0.879,0.007,0.194,0.915,0.961
2,perm_030,shuffle_3,shuffle_3,"[1,2,0,3,4]",1-2-0-3-4,ewc,0,ewc,PASS,100.0,100.0,10,128,not_applicable,not_applicable,800,160;160;160;160;160,800,100000,20000;20000;20000;20000;20000,100000,empirical_mean_of_per_sample_squared_gradients,2000;2000;2000;2000,0.9880000000000001,0.994,0.976,0,0.1954,0.99075,0.99075,3.716,3.716,cuda:0,1000,500,all_120perm_4methods,0.999,0.976,0.994,0.994,0.977,0.0,0.0,0.0,0.0,0.977,0.0,0.0,0.0,0.0,0.977
3,perm_030,shuffle_3,shuffle_3,"[1,2,0,3,4]",1-2-0-3-4,no_replay,0,no_replay,PASS,0.0,0.0,10,128,not_applicable,not_applicable,800,160;160;160;160;160,800,100000,20000;20000;20000;20000;20000,100000,not_applicable,not_applicable,0.9886000000000001,0.994,0.973,0,0.1964,0.9902500000000001,0.9902500000000001,1.309,1.309,cuda:0,1000,500,all_120perm_4methods,0.999,0.973,0.995,0.994,0.982,0.0,0.0,0.0,0.0,0.982,0.0,0.0,0.0,0.0,0.982
3,perm_030,shuffle_3,shuffle_3,"[1,2,0,3,4]",1-2-0-3-4,experience_replay,100,er100,PASS,0.0,0.0,10,128,not_applicable,not_applicable,840,160;170;170;170;170,840,104000,20000;21000;21000;21000;21000,104000,not_applicable,not_applicable,0.9872,0.989,0.973,0,0.31920000000000004,0.835,0.835,1.323,1.323,cuda:0,1000,500,all_120perm_4methods,0.999,0.973,0.993,0.989,0.982,0.003,0.0,0.0,0.611,0.982,0.003,0.0,0.0,0.611,0.982
3,perm_030,shuffle_3,shuffle_3,"[1,2,0,3,4]",1-2-0-3-4,experience_replay,500,er500,PASS,0.0,0.0,10,128,not_applicable,not_applicable,960,160;200;200;200;200,960,120000,20000;25000;25000;25000;25000,120000,not_applicable,not_applicable,0.9812,0.982,0.971,0,0.5596,0.5269999999999999,0.5269999999999999,1.525,1.525,cuda:0,1000,500,all_120perm_4methods,0.996,0.973,0.984,0.982,0.971,0.915,0.0,0.002,0.91,0.971,0.915,0.0,0.002,0.91,0.971
3,perm_030,shuffle_3,shuffle_3,"[1,2,0,3,4]",1-2-0-3-4,ewc,0,ewc,PASS,100.0,100.0,10,128,not_applicable,not_applicable,800,160;160;160;160;160,800,100000,20000;20000;20000;20000;20000,100000,empirical_mean_of_per_sample_squared_gradients,2000;2000;2000;2000,0.9898,0.995,0.973,0,0.1974,0.9905,0.9905,3.758,3.758,cuda:0,1000,500,all_120perm_4methods,0.999,0.973,0.995,0.995,0.987,0.0,0.0,0.0,0.0,0.987,0.0,0.0,0.0,0.0,0.987
4,perm_030,shuffle_3,shuffle_3,"[1,2,0,3,4]",1-2-0-3-4,no_replay,0,no_replay,PASS,0.0,0.0,10,128,not_applicable,not_applicable,800,160;160;160;160;160,800,100000,20000;20000;20000;20000;20000,100000,not_applicable,not_applicable,0.9865999999999999,0.994,0.968,0,0.1936,0.99125,0.99125,1.325,1.325,cuda:0,1000,500,all_120perm_4methods,0.999,0.977,0.995,0.994,0.968,0.0,0.0,0.0,0.0,0.968,0.0,0.0,0.0,0.0,0.968
4,perm_030,shuffle_3,shuffle_3,"[1,2,0,3,4]",1-2-0-3-4,experience_replay,100,er100,PASS,0.0,0.0,10,128,not_applicable,not_applicable,840,160;170;170;170;170,840,104000,20000;21000;21000;21000;21000,104000,not_applicable,not_applicable,0.9872,0.989,0.977,0,0.3292,0.8225,0.8225,1.337,1.337,cuda:0,1000,500,all_120perm_4methods,0.997,0.977,0.991,0.989,0.982,0.0,0.0,0.0,0.664,0.982,0.0,0.0,0.0,0.664,0.982
4,perm_030,shuffle_3,shuffle_3,"[1,2,0,3,4]",1-2-0-3-4,experience_replay,500,er500,PASS,0.0,0.0,10,128,not_applicable,not_applicable,960,160;200;200;200;200,960,120000,20000;25000;25000;25000;25000,120000,not_applicable,not_applicable,0.9814,0.979,0.971,0,0.5466,0.5435,0.5435,1.501,1.501,cuda:0,1000,500,all_120perm_4methods,0.998,0.977,0.979,0.982,0.971,0.892,0.0,0.01,0.86,0.971,0.892,0.0,0.01,0.86,0.971
4,perm_030,shuffle_3,shuffle_3,"[1,2,0,3,4]",1-2-0-3-4,ewc,0,ewc,PASS,100.0,100.0,10,128,not_applicable,not_applicable,800,160;160;160;160;160,800,100000,20000;20000;20000;20000;20000,100000,empirical_mean_of_per_sample_squared_gradients,2000;2000;2000;2000,0.9886000000000001,0.994,0.977,0,0.1956,0.99125,0.99125,3.714,3.714,cuda:0,1000,500,all_120perm_4methods,0.999,0.977,0.994,0.995,0.978,0.0,0.0,0.0,0.0,0.978,0.0,0.0,0.0,0.0,0.978
5,perm_030,shuffle_3,shuffle_3,"[1,2,0,3,4]",1-2-0-3-4,no_replay,0,no_replay,PASS,0.0,0.0,10,128,not_applicable,not_applicable,800,160;160;160;160;160,800,100000,20000;20000;20000;20000;20000,100000,not_applicable,not_applicable,0.9870000000000001,0.993,0.972,0,0.1954,0.9895,0.9895,1.246,1.246,cuda:0,1000,500,all_120perm_4methods,0.999,0.972,0.993,0.994,0.977,0.0,0.0,0.0,0.0,0.977,0.0,0.0,0.0,0.0,0.977
5,perm_030,shuffle_3,shuffle_3,"[1,2,0,3,4]",1-2-0-3-4,experience_replay,100,er100,PASS,0.0,0.0,10,128,not_applicable,not_applicable,840,160;170;170;170;170,840,104000,20000;21000;21000;21000;21000,104000,not_applicable,not_applicable,0.986,0.987,0.972,0,0.29500000000000004,0.8637499999999999,0.8637499999999999,1.284,1.284,cuda:0,1000,500,all_120perm_4methods,1.0,0.972,0.99,0.987,0.981,0.0,0.0,0.0,0.494,0.981,0.0,0.0,0.0,0.494,0.981
5,perm_030,shuffle_3,shuffle_3,"[1,2,0,3,4]",1-2-0-3-4,experience_replay,500,er500,PASS,0.0,0.0,10,128,not_applicable,not_applicable,960,160;200;200;200;200,960,120000,20000;25000;25000;25000;25000,120000,not_applicable,not_applicable,0.9795999999999999,0.972,0.97,0,0.5512,0.5354999999999999,0.5354999999999999,1.491,1.491,cuda:0,1000,500,all_120perm_4methods,0.997,0.972,0.97,0.987,0.972,0.89,0.013,0.0,0.881,0.972,0.89,0.013,0.0,0.881,0.972
5,perm_030,shuffle_3,shuffle_3,"[1,2,0,3,4]",1-2-0-3-4,ewc,0,ewc,PASS,100.0,100.0,10,128,not_applicable,not_applicable,800,160;160;160;160;160,800,100000,20000;20000;20000;20000;20000,100000,empirical_mean_of_per_sample_squared_gradients,2000;2000;2000;2000,0.9894000000000001,0.994,0.972,0,0.197,0.9905,0.9905,3.684,3.684,cuda:0,1000,500,all_120perm_4methods,1.0,0.972,0.994,0.996,0.985,0.0,0.0,0.0,0.0,0.985,0.0,0.0,0.0,0.0,0.985
6,perm_030,shuffle_3,shuffle_3,"[1,2,0,3,4]",1-2-0-3-4,no_replay,0,no_replay,PASS,0.0,0.0,10,128,not_applicable,not_applicable,800,160;160;160;160;160,800,100000,20000;20000;20000;20000;20000,100000,not_applicable,not_applicable,0.9868,0.992,0.97,0,0.194,0.991,0.991,1.264,1.264,cuda:0,1000,500,all_120perm_4methods,1.0,0.977,0.995,0.992,0.97,0.0,0.0,0.0,0.0,0.97,0.0,0.0,0.0,0.0,0.97
